Source_table,Source_column,Target_table,Target_column,Expression,Calculation_type
internetsalesdatafeed,ProductStandardCost,factinternetsales,ProductStandardCost,ProductStandardCost,COPY
internetsalesdatafeed,TotalProductCost,factinternetsales,TotalProductCost,TotalProductCost,COPY
internetsalesdatafeed,SalesAmount,factinternetsales,SalesAmount,SalesAmount,COPY
internetsalesdatafeed,TaxAmt,factinternetsales,TaxAmt,TaxAmt,COPY
internetsalesdatafeed,Freight,factinternetsales,Freight,Freight,COPY
internetsalesdatafeed,CarrierTrackingNumber,factinternetsales,CarrierTrackingNumber,CarrierTrackingNumber,COPY
internetsalesdatafeed,CustomerPONumber,factinternetsales,CustomerPONumber,CustomerPONumber,COPY
internetsalesdatafeed,DueDate,factinternetsales,DueDate,DueDate,COPY
internetsalesdatafeed,ShipDate,factinternetsales,ShipDate,ShipDate,COPY
productpricesdetailsfeed,ExtendedAmount,factinternetsales,ExtendedAmount,ExtendedAmount,COPY
productpricesdetailsfeed,UnitPriceDiscountPct,factinternetsales,UnitPriceDiscountPct,UnitPriceDiscountPct,COPY
productpricesdetailsfeed,DiscountAmount,factinternetsales,DiscountAmount,DiscountAmount,COPY
productpricesdetailsfeed,UnitPrice,factinternetsales,UnitPrice,UnitPrice,COPY
internetsalesorderdetailsfeed,OrderDate,factinternetsales,OrderDate,OrderDate,COPY
internetsalesorderdetailsfeed,OrderQuantity,factinternetsales,OrderQuantity,OrderQuantity,COPY
internetsalesorderdetailsfeed,OrderDateKey,factinternetsales,OrderDateKey,OrderDateKey,COPY
factproductinventory.csv,DateKey,factproductinventory,DateKey,DateKey,COPY
factproductinventory.csv,MovementDate,factproductinventory,MovementDate,MovementDate,COPY
factproductinventory.csv,ProductKey,factproductinventory,ProductKey,ProductKey,COPY
factproductinventory.csv,UnitCost,factproductinventory,UnitCost,UnitCost,COPY
factproductinventory.csv,UnitsBalance,factproductinventory,UnitsBalance,UnitsBalance,COPY
factproductinventory.csv,UnitsIn,factproductinventory,UnitsIn,UnitsIn,COPY
factproductinventory.csv,UnitsOut,factproductinventory,UnitsOut,UnitsOut,COPY
dimorganization.csv,CurrencyKey,dimorganization,CurrencyKey,CurrencyKey,COPY
dimorganization.csv,OrganizationKey,dimorganization,OrganizationKey,OrganizationKey,COPY
dimorganization.csv,OrganizationName,dimorganization,OrganizationName,OrganizationName,COPY
dimorganization.csv,ParentOrganizationKey,dimorganization,ParentOrganizationKey,ParentOrganizationKey,COPY
dimorganization.csv,PercentageOfOwnership,dimorganization,PercentageOfOwnership,PercentageOfOwnership,COPY
dimgeography.csv,SalesTerritoryKey,dimgeography,SalesTerritoryKey,SalesTerritoryKey,COPY
dimgeography.csv,City,dimgeography,City,City,COPY
dimgeography.csv,CountryRegionCode,dimgeography,CountryRegionCode,CountryRegionCode,COPY
dimgeography.csv,EnglishCountryRegionName,dimgeography,EnglishCountryRegionName,EnglishCountryRegionName,COPY
dimgeography.csv,FrenchCountryRegionName,dimgeography,FrenchCountryRegionName,FrenchCountryRegionName,COPY
dimgeography.csv,GeographyKey,dimgeography,GeographyKey,GeographyKey,COPY
dimgeography.csv,IpAddressLocator,dimgeography,IpAddressLocator,IpAddressLocator,COPY
dimgeography.csv,PostalCode,dimgeography,PostalCode,PostalCode,COPY
dimgeography.csv,SpanishCountryRegionName,dimgeography,SpanishCountryRegionName,SpanishCountryRegionName,COPY
dimgeography.csv,StateProvinceCode,dimgeography,StateProvinceCode,StateProvinceCode,COPY
dimgeography.csv,StateProvinceName,dimgeography,StateProvinceName,StateProvinceName,COPY
factfinance.csv,Date,factfinance,Date,Date,COPY
factfinance.csv,DateKey,factfinance,DateKey,DateKey,COPY
factfinance.csv,AccountKey,factfinance,AccountKey,AccountKey,COPY
factfinance.csv,Amount,factfinance,Amount,Amount,COPY
factfinance.csv,DepartmentGroupKey,factfinance,DepartmentGroupKey,DepartmentGroupKey,COPY
factfinance.csv,FinanceKey,factfinance,FinanceKey,FinanceKey,COPY
factfinance.csv,OrganizationKey,factfinance,OrganizationKey,OrganizationKey,COPY
factfinance.csv,ScenarioKey,factfinance,ScenarioKey,ScenarioKey,COPY
