Table,Column
dimproduct_part1.csv,SizeUnitMeasureCode
dimproduct_part1.csv,StartDate
dimproduct_part1.csv,ProductLine
dimproduct_part1.csv,ThaiDescription
dimproduct_part1.csv,Style
dimproduct_part1.csv,ProductKey
dimproduct_part2.csv,FrenchDescription
dimproduct_part2.csv,Class
dimproduct_part2.csv,ID
dimproduct_part2.csv,Color
dimproduct_part2.csv,EndDate
dimproduct_part2.csv,DealerPrice
dimproduct_part2.csv,DaysToManufacture
dimproduct_part2.csv,ChineseDescription
dimproduct_part2.csv,FrenchProductName
dimproduct_part2.csv,FinishedGoodsFlag
dimproduct_part2.csv,EnglishDescription
dimproduct_part2.csv,EnglishProductName
dimproduct_part2.csv,ArabicDescription
dimproduct_part2.csv,ListPrice
dimproduct_part2.csv,ModelName
dimproduct_part2.csv,GermanDescription
dimproduct_part2.csv,LargePhoto
dimproductcategory,ProductCategoryAlternateKey
dimproductcategory,EnglishProductCategoryName
dimproductcategory,SpanishProductCategoryName
dimproductcategory,FrenchProductCategoryName
dimproductcategory,ProductCategoryKey
dimproductcategory.csv,ProductCategoryKey
dimproductcategory.csv,FrenchProductCategoryName
dimproductcategory.csv,SpanishProductCategoryName
dimproductcategory.csv,EnglishProductCategoryName
dimproductcategory.csv,ProductCategoryAlternateKey
dimproductfiltered.csv,AccountCodeAlternateKey
dimpromotion,SpanishPromotionCategory
dimpromotion,FrenchPromotionCategory
dimpromotion,FrenchPromotionName
dimpromotion,MinQty
dimpromotion,StartDate
dimpromotion,EndDate
dimpromotion,PromotionKey
dimpromotion,SpanishPromotionName
dimpromotion,PromotionAlternateKey
dimpromotion,EnglishPromotionCategory
dimpromotion,FrenchPromotionType
dimpromotion,MaxQty
dimpromotion,DiscountPct
dimpromotion,EnglishPromotionType
dimpromotion,SpanishPromotionType
dimpromotion,EnglishPromotionName
dimpromotion.csv,SpanishPromotionCategory
dimpromotion.csv,EnglishPromotionName
dimpromotion.csv,FrenchPromotionCategory
dimpromotion.csv,EnglishPromotionType
dimpromotion.csv,DiscountPct
dimpromotion.csv,FrenchPromotionType
dimpromotion.csv,MaxQty
dimpromotion.csv,EnglishPromotionCategory
dimpromotion.csv,StartDate
dimpromotion.csv,SpanishPromotionType
dimpromotion.csv,SpanishPromotionName
dimpromotion.csv,PromotionAlternateKey
dimpromotion.csv,EndDate
dimpromotion.csv,PromotionKey
dimpromotion.csv,FrenchPromotionName
dimpromotion.csv,MinQty
dimreseller,MinPaymentType
dimreseller,GeographyKey
dimreseller,ResellerKey
dimreseller,AnnualSales
dimreseller,AnnualRevenue
dimreseller,NumberEmployees
dimreseller,LastOrderYear
dimreseller,AddressLine2
dimreseller,BusinessType
dimreseller,ResellerName
dimreseller,ProductLine
dimreseller,Phone
dimreseller,OrderFrequency
dimreseller,BankName
dimreseller,AddressLine1
dimreseller,ResellerAlternateKey
dimreseller,OrderMonth
dimreseller,YearOpened
dimreseller,MinPaymentAmount
dimreseller,FirstOrderYear
dimreseller.csv,ResellerKey
dimreseller.csv,BusinessType
dimreseller.csv,NumberEmployees
dimreseller.csv,BankName
dimreseller.csv,ResellerAlternateKey
dimreseller.csv,OrderMonth
dimreseller.csv,MinPaymentAmount
dimreseller.csv,AnnualSales
dimreseller.csv,FirstOrderYear
dimreseller.csv,Phone
dimreseller.csv,YearOpened
dimreseller.csv,ProductLine
dimreseller.csv,LastOrderYear
dimreseller.csv,AnnualRevenue
dimreseller.csv,MinPaymentType
dimreseller.csv,ResellerName
dimreseller.csv,AddressLine2
dimreseller.csv,OrderFrequency
dimreseller.csv,GeographyKey
dimreseller.csv,AddressLine1
dimsalesreason,SalesReasonKey
dimsalesreason,SalesReasonName
dimsalesreason,SalesReasonAlternateKey
dimsalesreason,SalesReasonReasonType
dimsalesreason.csv,SalesReasonReasonType
dimsalesreason.csv,SalesReasonAlternateKey
dimsalesreason.csv,SalesReasonName
dimsalesreason.csv,SalesReasonKey
